zone, risk_score
VE, 1.0
V1, 1.0
V2, 1.0
V3, 1.0
V4, 1.0
V5, 1.0
V6, 1.0
V7, 1.0
V8, 1.0
V9, 1.0
V10, 1.0
V11, 1.0
V12, 1.0
V13, 1.0
V14, 1.0
V15, 1.0
V16, 1.0
V17, 1.0
V18, 1.0
V19, 1.0
V20, 1.0
V21, 1.0
V22, 1.0
V23, 1.0
V24, 1.0
V25, 1.0
V26, 1.0
V27, 1.0
V28, 1.0
V29, 1.0
V30, 1.0
V, 0.95
AE, 0.85
A1, 0.85
A2, 0.85
A3, 0.85
A4, 0.85
A5, 0.85
A6, 0.85
A7, 0.85
A8, 0.85
A9, 0.85
A10, 0.85
A11, 0.85
A12, 0.85
A13, 0.85
A14, 0.85
A15, 0.85
A16, 0.85
A17, 0.85
A18, 0.85
A19, 0.85
A20, 0.85
A21, 0.85
A22, 0.85
A23, 0.85
A24, 0.85
A25, 0.85
A26, 0.85
A27, 0.85
A28, 0.85
A29, 0.85
A30, 0.85
A, 0.80
AH, 0.75
AO, 0.75
AR, 0.70
B, 0.30
X500, 0.3
C, 0.05
X, 0.05
D, 0.50
